local_readme_file,section_codes_in_file,codes_not_in_file
acdlite.redux-rx.md,"1,3,4","5,6,7,8"
AdamBrodzinski.RedScript.md,",-,1,3,4,6","5,7,8"
adamwulf.Columnizer-jQuery-Plugin.md,",-,1,3,6,7","4,5,8"
ammmir.node-oauth2-provider.md,"1,3","4,5,6,7,8"
angular-ui.ui-select2.md,"1,3,6","4,5,7,8"
appcelerator-archive.sample-tweetanium.md,"1,3","4,5,6,7,8"
arturadib.agility.md,"1,5,6","3,4,7,8"
asamiller.den.md,3,"1,4,5,6,7,8"
baseprime.grapnel.md,",-,1,3,5,6","4,7,8"
bdefore.universal-redux.md,",-,1,3,6","4,5,7,8"
bpaquet.node-logstash.md,",1,3,4,5,6,7",8
bradfrost.dumb-react.md,"-,1,3","4,5,6,7,8"
brandonaaron.livequery.md,"-,1,3,5,6","4,7,8"
BrowserSync.grunt-browser-sync.md,"-,1,3,6,7","4,5,8"
burakson.sherlogjs.md,"1,3,5,8","4,6,7"
caitp.angular-semantic.md,"-,1,3,5,6,7","4,8"
calatrava.calatrava.md,"1,3","4,5,6,7,8"
candreoliveira.ngMask.md,",-,1,3,5,6","4,7,8"
caolan.pithy.md,"-,1,3,6","4,5,7,8"
chilts.awssum.md,",3,5,6","1,4,7,8"
chjtx.JRoll.md,",-,1,3,5,6","4,7,8"
christopherdro.react-native-calendar.md,"-,3,6","1,4,5,7,8"
classeur.classeur.md,"-,1,3,5,6,7","4,8"
cmpolis.smart-table-scroll.md,",1,3,6","4,5,7,8"
csstools.mdcss.md,"-,3,6","1,4,5,7,8"
cymen.show-me-the-react.md,"1,3","4,5,6,7,8"
davetayls.jquery.kinetic.md,",-,1,3,4,6","5,7,8"
DavyJonesLocker.ember-easy-form.md,",3,6","1,4,5,7,8"
dchester.epilogue.md,",-,1,3,5,6","4,7,8"
dora-js.dora.md,"-,1,3,5,6","4,7,8"
douglasduteil.isparta.md,"-,3,5,6","1,4,7,8"
drewzboto.grunt-connect-proxy.md,"-,1,3,4,6,7","5,8"
evolvedlight.pydashie.md,"3,6","1,4,5,7,8"
expo.ex-navigation.md,"-,1,3,6","4,5,7,8"
expo.ex-navigator.md,"1,3,6","4,5,7,8"
expo.react-native-infinite-scroll-view.md,"1,3,6","4,5,7,8"
facebookarchive.connect-js.md,"1,3,4,6,7","5,8"
flatiron.blacksmith.md,",1,3,4,5,6,8",7
flesler.jquery.localScroll.md,"-,3,6","1,4,5,7,8"
ForoneTech.ForoneAdministrator.md,",-","1,3,4,5,6,7,8"
gaearon.react-pure-render.md,",3,5,6","1,4,7,8"
garann.template-chooser.md,1,"3,4,5,6,7,8"
gfranko.amdclean.md,"-,1,3,5,6,7","4,8"
handsontable.ngHandsontable.md,"-,1,3,5","4,6,7,8"
hay.stapes.md,6,"1,3,4,5,7,8"
HenrikJoreteg.Happy.js.md,-,"1,3,4,5,6,7,8"
hokaccha.js-flipsnap.md,6,"1,3,4,5,7,8"
humangeo.leaflet-dvf.md,"1,3,6","4,5,7,8"
imkevinxu.xkcdgraphs.md,"1,3,5,6","4,7,8"
jamesplease.react-composer.md,"1,3,6,7,8","4,5"
JedWatson.react-tappable.md,",3,4,5,6","1,7,8"
kensho.ng-describe.md,"-,1,3,5,6","4,7,8"
LearnBoost.up.md,"1,3,5,6","4,7,8"
louisremi.jquery.transition.js.md,"1,3,5,6","4,7,8"
marionettejs.backbone.syphon.md,",-,1,3,4,5,6","7,8"
meatspaces.meatspace-chat.md,",3,5,6,7","1,4,8"
MeCKodo.vue-tap.md,",-,1,3,4","5,6,7,8"
mhaagens.react-mobx-react-router4-boilerplate.md,"-,3,4","1,5,6,7,8"
mhemesath.r2d3.md,",3,4","1,5,6,7,8"
mozilla.neo.md,",-,1,3,4,5,6,7",8
mz026.universal-redux-template.md,"-,1,3,4,6","5,7,8"
nakajima.slidedown.md,"3,4,5","1,6,7,8"
nashvail.Quttons.md,"-,1,3,6","4,5,7,8"
nDmitry.grunt-postcss.md,"1,3,6","4,5,7,8"
ngryman.jquery.finger.md,"-,1,3,4,5,6","7,8"
ngsru.vue-server.md,",-,1,3,5,6","4,7,8"
nicola.node-imessage.md,",-,3,6","1,4,5,7,8"
nodejitsu.handbook.md,",1,3,6","4,5,7,8"
nzakas.nui.md,",1,3","4,5,6,7,8"
PaulUithol.backbone-tastypie.md,",1,3,6","4,5,7,8"
peachananr.label_better.md,",-,3,6","1,4,5,7,8"
pgriess.node-msgpack.md,",3","1,4,5,6,7,8"
philholden.subdivide.md,"-,1,3,5,6","4,7,8"
PhilWaldmann.openrecord.md,"-,1,3,7","4,5,6,8"
playframework.play-plugins.md,"3,5","1,4,6,7,8"
plotly.spectacle-editor.md,"1,3,6","4,5,7,8"
randylien.generator-react-gulp-browserify.md,",1,3,5","4,6,7,8"
rashidkpc.kibana2.md,"-,1,3,4,6","5,7,8"
react-native-vietnam.react-native-search-box.md,"-,1,3,5","4,6,7,8"
rgbkrk.covfefe.md,",-,1,3,6","4,5,7,8"
rileyjshaw.sweep.md,"1,3,5,6","4,7,8"
rnc-archive.react-native-platform-touchable.md,"-,3,6","1,4,5,7,8"
round.enhance.js.md,"1,3,4","5,6,7,8"
samccone.coverage-ext.md,"1,3","4,5,6,7,8"
Schepp.CSS-Filters-Polyfill.md,"1,3,5,6","4,7,8"
sebarmeli.JAIL.md,",1,3,5,6","4,7,8"
SlexAxton.require-handlebars-plugin.md,"1,3,5,6","4,7,8"
Snugug.eq.js.md,",-,1,3","4,5,6,7,8"
soulwire.Muscular-Hydrostats.md,1,"3,4,5,6,7,8"
sproutit.sproutcore.md,",3,6","1,4,5,7,8"
synacor.wiretie.md,"-,1,3,5,6,8","4,7"
thewei.react-native-store.md,"3,6,7","1,4,5,8"
thomasdavis.backboneboilerplate.md,"1,3,5,6","4,7,8"
tjmehta.coworkers.md,",-,1,3,4,5,6","7,8"
vaneenige.unswitch.md,"1,3,5,7","4,6,8"
wojtkowiak.meteor-desktop.md,",1,3,4,6,7","5,8"
zertosh.jquery-audit.md,",1,3,6","4,5,7,8"
